Unnamed: 0,ctry,fh09,polity09,gini,fparl08,mena,lati,cari,east,sovi,afri,corr0509,Unnamed: 13,corr_round,fh_status
102,Kosovo,4.5,,,,0,0,0,0,1,0,-0.641869039675028,,-0.64,partly free
103,Kuwait,4.0,-7.0,,3.08,1,0,0,0,0,0,0.628466282153844,,0.63,partly free
107,Lebanon,4.0,7.0,,4.69,1,0,0,0,0,0,-0.803180296878397,,-0.8,partly free
108,Lesotho,3.0,8.0,52.5,25.83,0,0,0,0,0,1,-0.0286510302440637,,-0.03,partly free
109,Liberia,3.5,6.0,52.6,13.83,0,0,0,0,0,1,-0.715497298360268,,-0.72,partly free
115,"Macedonia, FYR",3.0,9.0,42.8,31.67,0,0,0,0,1,0,-0.224905719219929,,-0.22,partly free
116,Madagascar,5.0,0.0,47.2,9.38,0,0,0,0,0,1,-0.14226924248874,,-0.14,partly free
117,Malawi,3.5,6.0,39.0,12.95,0,0,0,0,0,1,-0.628449770837884,,-0.63,partly free
118,Malaysia,4.0,6.0,37.9,14.59,0,0,0,1,0,0,0.248531499290579,,0.25,partly free
119,Maldives,3.5,,37.4,12.0,0,0,0,0,0,0,-0.632013196920643,,-0.63,partly free
128,Moldova,3.5,8.0,37.4,21.78,0,0,0,0,0,0,-0.650764156170288,,-0.65,partly free
132,Morocco,4.5,-6.0,40.9,6.22,1,0,0,0,0,0,-0.257721825065937,,-0.26,partly free
133,Mozambique,3.5,5.0,47.1,34.8,0,0,0,0,0,1,-0.52440539781699,,-0.52,partly free
136,Nepal,4.0,6.0,47.3,33.16,0,0,0,0,0,0,-0.762604422189102,,-0.76,partly free
141,Nicaragua,4.0,9.0,52.3,18.48,0,1,0,0,0,0,-0.747011012934567,,-0.75,partly free
142,Niger,4.5,-3.0,43.9,12.39,0,0,0,0,0,1,-0.786162566729321,,-0.79,partly free
143,Nigeria,4.5,4.0,42.9,7.28,0,0,0,0,0,1,-1.05979890651506,,-1.06,partly free
147,Pakistan,4.5,5.0,31.2,21.23,0,0,0,0,0,0,-0.884608798110971,,-0.88,partly free
150,Papua New Guinea,3.5,4.0,50.9,0.92,0,0,0,0,0,0,-1.32452131085468,,-1.32,partly free
151,Paraguay,3.0,8.0,53.2,13.6,0,1,0,0,0,0,-1.19040084434992,,-1.19,partly free
153,Philippines,3.5,8.0,44.0,20.23,0,0,0,1,0,0,-0.663144559133422,,-0.66,partly free
165,Senegal,3.0,7.0,39.2,29.2,0,0,0,0,0,1,-0.366590316792602,,-0.37,partly free
167,Seychelles,3.0,,,23.53,0,0,0,0,0,1,0.2124143777902,,0.21,partly free
168,Sierra Leone,3.0,7.0,42.5,13.22,0,0,0,0,0,1,-1.06766058586761,,-1.07,partly free
169,Singapore,4.5,-2.0,42.5,24.47,0,0,0,1,0,0,2.19852816137966,,2.2,partly free
172,Solomon Islands,3.5,8.0,,0.0,0,0,0,0,0,0,-0.325139433829041,,-0.33,partly free
176,Sri Lanka,4.0,6.0,41.1,5.78,0,0,0,0,0,0,-0.193983916717163,,-0.19,partly free
187,Tanzania,3.5,-1.0,34.6,30.41,0,0,0,0,0,1,-0.439213089003676,,-0.44,partly free
188,Thailand,4.5,4.0,42.5,12.7,0,0,0,1,0,0,-0.225074311389067,,-0.23,partly free
190,Togo,4.5,-4.0,34.4,11.11,0,0,0,0,0,1,-0.9964824635599,,-1.0,partly free
191,Tonga,4.0,,,3.13,0,0,0,0,0,0,-0.992693175908532,,-0.99,partly free
194,Turkey,3.0,7.0,41.2,9.11,1,0,0,0,0,0,0.0743557869505077,,0.07,partly free
198,Uganda,4.5,-1.0,42.6,30.72,0,0,0,0,0,1,-0.819750555271628,,-0.82,partly free
206,"Venezuela, RB",4.5,-3.0,43.4,18.56,0,1,0,0,0,0,-1.06167951677692,,-1.06,partly free
211,Zambia,3.5,7.0,50.7,15.19,0,0,0,0,0,1,-0.601142208680117,,-0.6,partly free
